         7234688 function calls (6622586 primitive calls) in 11.808 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      111    0.001    0.000    0.047    0.000 std.py:1212(update)
     2006    0.001    0.000    0.002    0.000 __init__.py:227(_releaseLock)
      667    0.001    0.000    0.001    0.000 std.py:233(__call__)
     4347    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     4000    0.001    0.000    0.001    0.000 numeric.py:574(_argwhere_dispatcher)
       11    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     4000    0.001    0.000    0.001    0.000 arraysetops.py:133(_unique_dispatcher)
     4000    0.001    0.000    0.001    0.000 fromnumeric.py:1888(_nonzero_dispatcher)
      113    0.001    0.000    0.001    0.000 std.py:1460(format_dict)
     2029    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
     4000    0.001    0.000    0.001    0.000 fromnumeric.py:597(_transpose_dispatcher)
     2125    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
      113    0.001    0.000    0.001    0.000 std.py:188(__format__)
        4    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
      226    0.001    0.000    0.001    0.000 utils.py:222(_is_ascii)
     2000    0.001    0.000    0.001    0.000 fromnumeric.py:2519(_cumsum_dispatcher)
      339    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      113    0.001    0.000    0.028    0.000 std.py:1164(__str__)
       47    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
      112    0.001    0.000    0.045    0.000 std.py:1339(refresh)
      113    0.001    0.000    0.044    0.000 std.py:1478(display)
      339    0.001    0.000    0.024    0.000 utils.py:329(_text_width)
      113    0.001    0.000    0.004    0.000 std.py:342(fp_write)
      116    0.001    0.000    0.001    0.000 std.py:108(release)
      225    0.001    0.000    0.002    0.000 std.py:288(format_interval)
      112    0.001    0.000    0.001    0.000 {built-in method now}
      113    0.000    0.000    0.014    0.000 std.py:348(print_status)
      339    0.000    0.000    0.025    0.000 utils.py:333(disp_len)
       71    0.000    0.000    0.000    0.000 {built-in method posix.stat}
      113    0.000    0.000    0.000    0.000 std.py:155(__init__)
     2373    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       39    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      116    0.000    0.000    0.001    0.000 std.py:104(acquire)
      228    0.000    0.000    0.003    0.000 utils.py:143(inner)
        4    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
       11    0.000    0.000    0.000    0.000 {built-in method io.open_code}
      113    0.000    0.000    0.011    0.000 utils.py:341(disp_trim)
      517    0.000    0.000    0.000    0.000 {built-in method time.time}
      116    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      116    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.003    0.003 shutil.py:1(<module>)
       11    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
      191    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1034(get_data)
     20/4    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:986(_find_and_load)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:914(get_code)
     12/2    0.000    0.000    0.007    0.003 {built-in method builtins.exec}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      113    0.000    0.000    0.000    0.000 utils.py:57(__init__)
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1367(_get_spec)
      113    0.000    0.000    0.000    0.000 utils.py:61(__format__)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:354(cache_from_source)
     20/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:650(_load_unlocked)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 synchronize.py:50(__init__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 __init__.py:313(namedtuple)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(acquire)
      116    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
      113    0.000    0.000    0.000    0.000 std.py:169(colour)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
     20/4    0.000    0.000    0.008    0.002 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      216    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 std.py:846(__init__)
      404    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:689(spec_from_file_location)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      113    0.000    0.000    0.000    0.000 std.py:165(colour)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       20    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        1    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
     34/6    0.000    0.000    0.007    0.001 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
       20    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
       70    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
        1    0.000    0.000    0.000    0.000 __init__.py:288(__init__)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
        5    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        4    0.000    0.000    0.000    0.000 std.py:115(__exit__)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
     11/2    0.000    0.000    0.007    0.003 <frozen importlib._bootstrap_external>:842(exec_module)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:638(_compile_bytecode)
        1    0.000    0.000    0.000    0.000 linecache.py:82(updatecache)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 util.py:10(<module>)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 reduction.py:10(<module>)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1330(_path_importer_cache)
        1    0.000    0.000    0.000    0.000 tokenize.py:388(open)
      113    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.003    0.003 tempfile.py:1(<module>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:553(_classify_pyc)
        1    0.000    0.000    0.008    0.008 std.py:560(__new__)
        1    0.000    0.000    0.005    0.005 synchronize.py:11(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:484(_get_cached)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:147(__enter__)
       97    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      139    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
        1    0.000    0.000    0.000    0.000 threading.py:270(wait)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1493(_get_spec)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
        1    0.000    0.000    0.001    0.001 utils.py:282(_screen_shape_linux)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:376(cached)
      139    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:389(parent)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      9/5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.000    0.000 {built-in method fcntl.ioctl}
        1    0.000    0.000    0.000    0.000 warnings.py:35(_formatwarnmsg_impl)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f3323e59430}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:725(find_spec)
        1    0.000    0.000    0.000    0.000 threading.py:834(start)
        1    0.000    0.000    0.000    0.000 threading.py:249(__exit__)
      5/2    0.000    0.000    0.002    0.001 {built-in method builtins.__import__}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1399(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:151(__exit__)
       44    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.000    0.000 tempfile.py:272(rng)
        1    0.000    0.000    0.000    0.000 __init__.py:1073(emit)
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(spec_from_loader)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:586(_validate_timestamp_pyc)
        5    0.000    0.000    0.000    0.000 abc.py:84(__new__)
        1    0.000    0.000    0.000    0.000 threading.py:540(wait)
        2    0.000    0.000    0.000    0.000 threading.py:222(__init__)
        1    0.000    0.000    0.002    0.002 __init__.py:15(<module>)
       61    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 std.py:576(_get_free_pos)
        4    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:516(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1317(_path_hooks)
        2    0.000    0.000    0.000    0.000 std.py:1279(close)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
        1    0.000    0.000    0.000    0.000 std.py:583(_decr_instances)
        1    0.000    0.000    0.000    0.000 threading.py:761(__init__)
       38    0.000    0.000    0.000    0.000 __init__.py:23(<genexpr>)
        1    0.000    0.000    0.000    0.000 tokenize.py:295(detect_encoding)
        4    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1075(path_stats)
       15    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       44    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
        1    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
       20    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
